# dataset=strongs/glosses; lang=eng; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
G0116	Ἀθῆναι	Athens	lexicon	stepbible
G0117	Ἀθηναῖος	Athenian	lexicon	stepbible
G0118	ἀθλέω	compete	lexicon	stepbible
G0119	ἀθροίζω	struggle	lexicon	stepbible
G0120	ἀθυμέω	be discouraged	lexicon	stepbible
G0121	ἀθῷος	innocent	lexicon	stepbible
G0122	αἴγιος	goat's	lexicon	stepbible
G0123	αἰγιαλός	shore	lexicon	stepbible
G0124	Αἰγύπτιος	Egyptian	lexicon	stepbible
G0125	Αἴγυπτος	Egypt	lexicon	stepbible
G0126	ἀΐδιος	eternal	lexicon	stepbible
G0127	αἰδώς	modesty	lexicon	stepbible
G0128	Αἰθίοψ	Ethiopian	lexicon	stepbible
G0129	αἷμα	blood	lexicon	stepbible
G0130	αἱματεκχυσία	bloodshed	lexicon	stepbible
G0131	αἱμορροέω	bleed	lexicon	stepbible
G0132	Αἰνέας	Aeneas	lexicon	stepbible
G0133	αἴνεσις	praise	lexicon	stepbible
G0134	αἰνέω	praise	lexicon	stepbible
G0135	αἴνιγμα	obscure thing	lexicon	stepbible
G0136	αἶνος	praise	lexicon	stepbible
G0137	Αἰνών	Aenon	lexicon	stepbible
G0138	αἱρέω	choose	lexicon	stepbible
G0139	αἵρεσις	sect	lexicon	stepbible
G0140	αἱρετίζω	choose	lexicon	stepbible
G0141	αἱρετικός	schismatic	lexicon	stepbible
G0142	αἴρω	take up	lexicon	stepbible
G0143	αἰσθάνομαι	perceive	lexicon	stepbible
G0144	αἴσθησις	insight	lexicon	stepbible
G0145	αἰσθητήριον	sense	lexicon	stepbible
G0146	αἰσχροκερδής	greedy	lexicon	stepbible
G0147	αἰσχροκερδῶς	greedily	lexicon	stepbible
G0148	αἰσχρολογία	obscenity	lexicon	stepbible
G0149		shameful	lexicon	stepbible
G0150	αἰσχρός	shameful	lexicon	stepbible
G0151	αἰσχρότης	obscenity	lexicon	stepbible
G0152	αἰσχύνη	shame	lexicon	stepbible
G0153	αἰσχύνω	be ashamed	lexicon	stepbible
G0154	αἰτέω	ask	lexicon	stepbible
G0155	αἴτημα	request	lexicon	stepbible
G0156	αἰτία	cause	lexicon	stepbible
G0157	αἰτίωμα	charge	lexicon	stepbible
G0158		reason for charge	lexicon	stepbible
G0159	αἴτιος	causer	lexicon	stepbible
G0160	αἰφνίδιος	sudden	lexicon	stepbible
G0161	αἰχμαλωσία	captivity	lexicon	stepbible
G0162	αἰχμαλωτεύω	take captive	lexicon	stepbible
G0163	αἰχμαλωτίζω	capture	lexicon	stepbible
G0164	αἰχμάλωτος	captive	lexicon	stepbible
G0165	αἰών	age	lexicon	stepbible
G0166	αἰώνιος	eternal	lexicon	stepbible
G0167	ἀκαθαρσία	impurity	lexicon	stepbible
G0168		uncleanness	lexicon	stepbible
G0169	ἀκάθαρτος	unclean	lexicon	stepbible
G0170	ἀκαιρέομαι	lack opportunity	lexicon	stepbible
G0171	ἀκαίρως	unseasonably	lexicon	stepbible
G0172	ἄκακος	innocent	lexicon	stepbible
G0173	ἄκανθα	thorn	lexicon	stepbible
G0174	ἀκάνθινος	thorny	lexicon	stepbible
G0175	ἄκαρπος	unfruitful	lexicon	stepbible
G0176	ἀκατάγνωστος	beyond reproach	lexicon	stepbible
G0177	ἀκατακάλυπτος	uncovered	lexicon	stepbible
G0178	ἀκατάκριτος	uncondemned	lexicon	stepbible
G0179	ἀκατάλυτος	indestructible	lexicon	stepbible
G0180	ἀκατάπαυστος	unceasing	lexicon	stepbible
G0181	ἀκαταστασία	disorder	lexicon	stepbible
G0182	ἀκατάστατος	restless	lexicon	stepbible
G0183		uncontrollable	lexicon	stepbible
G0184	Ἁκελδαμάχ	Akeldama	lexicon	stepbible
G0185	ἀκέραιος	innocent	lexicon	stepbible
G0186	ἀκλινής	unwavering	lexicon	stepbible
G0187	ἀκμάζω	ripen	lexicon	stepbible
G0188	ἀκμήν	still	lexicon	stepbible
G0189	ἀκοή	hearing	lexicon	stepbible
G0190	ἀκολουθέω	follow	lexicon	stepbible
G0191	ἀκούω	hear	lexicon	stepbible
G0192	ἀκρασία	self-indulgence	lexicon	stepbible
G0193	ἀκρατής	intemperate	lexicon	stepbible
G0194	ἄκρατος	undiluted	lexicon	stepbible
G0195	ἀκρίβεια	strictness	lexicon	stepbible
G0196	ἀκριβέστατος	strictest	lexicon	stepbible
G0197	ἀκριβέστερον	stricter	lexicon	stepbible
G0198	ἀκριβόω	be exactly	lexicon	stepbible
G0199	ἀκριβῶς	exactly	lexicon	stepbible
G0200	ἀκρίς	locust	lexicon	stepbible
G0201	ἀκροατήριον	hall	lexicon	stepbible
G0202	ἀκροατής	hearer	lexicon	stepbible
G0203	ἀκροβυστία	uncircumcision	lexicon	stepbible
G0204	ἀκρογωνιαῖος	cornerstone	lexicon	stepbible
G0205	ἀκροθίνιον	fine spoils	lexicon	stepbible
G0206	ἄκρον	end	lexicon	stepbible
G0207	Ἀκύλας	Aquila	lexicon	stepbible
G0208	ἀκυρόω	nullify	lexicon	stepbible
G0209	ἀκωλύτως	freely	lexicon	stepbible
G0210	ἄκων	unwilling	lexicon	stepbible
G0211	ἀλάβαστρος	jar	lexicon	stepbible
G0212	ἀλαζονία	boasting	lexicon	stepbible
G0213	ἀλαζών	braggart	lexicon	stepbible
G0214	ἀλαλάζω	wail	lexicon	stepbible
G0215	ἀλάλητος	inexpressible	lexicon	stepbible
G0216	ἄλαλος	mute	lexicon	stepbible
G0217	ἅλας	salt	lexicon	stepbible
G0218	ἀλείφω	anoint	lexicon	stepbible
G0219	ἀλεκτοροφωνία	crowing	lexicon	stepbible
G0220	ἀλέκτωρ	rooster	lexicon	stepbible
G0221	Ἀλεξανδρεύς	Alexandrian	lexicon	stepbible
G0222	Ἀλεξανδρῖνος	Alexandria	lexicon	stepbible
G0223	Ἀλέξανδρος	Alexander	lexicon	stepbible
G0224	ἄλευρον	flour	lexicon	stepbible
G0225	ἀλήθεια	truth	lexicon	stepbible
G0226	ἀληθεύω	be truthful	lexicon	stepbible
G0227	ἀληθής	true	lexicon	stepbible
G0228	ἀληθινός	true	lexicon	stepbible
G0229	ἀλήθω	grind	lexicon	stepbible
G0230	ἀληθῶς	truly	lexicon	stepbible
G0231	ἁλιεύς	fisherman	lexicon	stepbible
G0232	ἁλιεύω	fish	lexicon	stepbible
G0233	ἁλίζω	salt	lexicon	stepbible
G0234	ἀλίσγημα	defilement	lexicon	stepbible
G0235	ἀλλά	but	lexicon	stepbible
G0236	ἀλλάσσω	change	lexicon	stepbible
G0237	ἀλλαχοῦ	from elsewhere	lexicon	stepbible
G0238	ἀλληγορέω	use an analogy	lexicon	stepbible
G0239	ἁλληλουϊά	hallelujah	lexicon	stepbible
G0240	ἀλλήλων	one another	lexicon	stepbible
